row_id,점검일자,연월,지사,사업장,점검자,직급,점검유형,Area/공정,위험분류,위험요소원본,심각도원본,심각도점수,지적내용_평문,조치유형,조치활동분류,조치내용_평문,완료여부,지적내용,조치내용,적용맥락가중치,맥락가중치합,LLM심각도,판정방식,근거,위험분류_재검토
10,2026-07-08,2026-07,광양지사,하포일반부두,INSPECTOR_10,EHS팀 책임,지사 주관,광양지사_ 하포일반부두,전도,전도,관계법규 위반,4.0,"현장 내 산소 용기가 바닥에 눕혀진 상태로 방치 외부 충격으로 밸브 파손시 고압가스가 급격히 분출되어 용기 튕겨 나갈수 있음. 주변 인화물질과 접촉시 화재, 폭발 위험 현장 개선조치",즉시처리,설치·구조물,전도 방지를 위해 고정조치 실시,완료,"<내용>
현장 내 산소 용기가 바닥에 눕혀진 상태로 방치
<위험요소>
외부 충격으로 밸브 파손시 고압가스가 급격히 분출되어 용기 튕겨 나갈수 있음. 주변 인화물질과 접촉시 화재, 폭발 위험
<요청사항>
현장 개선조치",전도 방지를 위해 고정조치 실시 ,"충전부·고압인근, 화기·인화물인근",2,4.0,키워드보정,,
11,2026-07-08,2026-07,광양지사,하포일반부두,INSPECTOR_10,EHS팀 책임,지사 주관,광양지사_ 하포일반부두,관리적미흡,관리적 미흡,개선필요 [중],2.0,지게차 엔진룸 청소 작업 중 엔진오일 및 유압유 등이 그대로 누출되는 상태 환경오염 및 폐기물 관리 미흡 현장 시정조치,즉시처리,제거·차단,배수로에 흡착포 사용하여 누출오일 제거,완료,"<내용>
지게차 엔진룸 청소 작업 중 엔진오일 및 유압유 등이 그대로 누출되는 상태
<위험요소>
환경오염 및 폐기물 관리 미흡
<요청사항>
현장 시정조치 
",배수로에 흡착포 사용하여 누출오일 제거 ,회전체·협착점인근,1,3.0,키워드보정,,
12,2026-07-08,2026-07,광양지사,하포일반부두,INSPECTOR_10,EHS팀 책임,지사 주관,광양지사_ 하포일반부두,기타,기타,핵심안전수칙 위반,4.0,차량운전원 안전모 미착용 상태로 하차 및 보행. 현장 안전 수칙 위반 (차량 운전원 하차시 안전모 착용),즉시처리,교육·지도,차량운전원에게 작업장 내 하차 시 안전모 착용 필요성 교육 및 착용 지도. 관리감독자에게 작업구역 내 근로자 보호구 착용 여부 확인 지도.,완료,"<내용>
차량운전원 안전모 미착용 상태로 하차 및 보행. 
현장 안전 수칙 위반 (차량 운전원 하차시 안전모 착용)","차량운전원에게 작업장 내 하차 시 안전모 착용 필요성 교육 및 착용 지도.
관리감독자에게 작업구역 내 근로자 보호구 착용 여부 확인 지도.",,0,4.0,키워드보정,,
13,2026-07-07,2026-07,전북지사,군산항 부두,INSPECTOR_04,EHS팀 책임,지사 주관,전북지사_ 군산항 부두,끼임·협착,끼임ㆍ협착,개선필요 [중],2.0,코일 하역 후 야적된 코일에 구름방지 고임목 미설치 개소 발생에 따른 조치 요청,즉시처리,설치·구조물,구름장지 고임목 설치가 누락된 개소에 고임목 설치 완료,완료,"[군산항 5부두]
코일 하역 후 야적된 코일에 구름방지 고임목 미설치 개소 발생에 따른 조치 요청",구름장지 고임목 설치가 누락된 개소에 고임목 설치 완료,,0,2.0,키워드보정,,
14,2026-07-07,2026-07,전북지사,군산항 부두,INSPECTOR_04,EHS팀 책임,지사 주관,전북지사_ 군산항 부두,기타,기타,개선필요 [하],1.0,1. 텐트창고 폭우 및 장마로 인한 우수유입 발생 주의 필요 2. 5부두 육상담당자를 통해 모래주머니 or 물막이 등 사전 준비 요청,즉시처리,설치·구조물,현장 반장님들과 모래주머니 제작하여 우수유입이 발생된 위치에 모래주며니 설치 완료,완료,"[군산항 5부두]
1. 텐트창고 폭우 및 장마로 인한 우수유입 발생 주의 필요
2. 5부두 육상담당자를 통해 모래주머니 or 물막이 등 사전 준비 요청",현장 반장님들과 모래주머니 제작하여 우수유입이 발생된 위치에 모래주며니 설치 완료,,0,1.0,키워드보정,,
15,2026-07-03,2026-07,강원지사,동해,INSPECTOR_02,EHS팀 사원,지사 주관,강원지사_ 동해,온열·온도,온도ㆍ습도,개선필요 [하],1.0,휴게실 내 식염정 복용방법 등 주의사항의 게시 필요 → 식염정 복용방법 등 주의사항 게시,즉시처리,교육·지도,식염정 복용방법 등 주의사항 게시완료,완료,휴게실 내 식염정 복용방법 등 주의사항의 게시 필요 → 식염정 복용방법 등 주의사항 게시,식염정 복용방법 등 주의사항 게시완료,,0,1.0,키워드보정,,
16,2026-07-03,2026-07,당진지사,당진지사,INSPECTOR_07,EHS팀 선임,지사 주관,당진지사,관리적미흡,관리적 미흡,개선필요 [중],2.0,- 2부두 구조용 케이지 상부 낙탄 청소 필요,,미분류,,진행(조치 전),- 2부두 구조용 케이지 상부 낙탄 청소 필요,,고소·상부작업,2,4.0,키워드보정,,
17,2026-07-03,2026-07,당진지사,당진지사,INSPECTOR_01,EHS팀 주임,지사 주관,당진지사,관리적미흡,관리적 미흡,개선필요 [하],1.0,"- 유연탄 3부두 승,하선기 출입문 임의 고정",즉시처리,기타,"- 즉시조치 완료 및 내용전달 완료,",완료,"- 유연탄 3부두 승,하선기 출입문 임의 고정","- 즉시조치 완료 및 내용전달 완료,",,0,1.0,키워드보정,,
18,2026-07-03,2026-07,당진지사,당진지사,INSPECTOR_01,EHS팀 주임,지사 주관,당진지사,관리적미흡,관리적 미흡,개선필요 [하],1.0,- 유연탄 2부두 야간작업시 사무실 주변 조도 확보 불량으로 안전사고 위험 - 현장점검간 근로자 의견청취건으로 현장확인 진행 완료,즉시처리,설치·구조물,- 정비팀 문의하여 사무실 상부 라이트 설치 진행 완료,완료,"- 유연탄 2부두 야간작업시 사무실 주변 조도 확보 불량으로 안전사고 위험
- 현장점검간 근로자 의견청취건으로 현장확인 진행 완료",- 정비팀 문의하여 사무실 상부 라이트 설치 진행 완료,,0,1.0,키워드보정,,
19,2026-07-03,2026-07,부산지사,우암,INSPECTOR_08,EHS팀 책임,지사 주관,부산지사_ 우암,전도,전도,개선필요 [중],2.0,-. 작업 후 휴식중 주변 구름성 위험이 있는 화물에 앉아서 쉬는 행위,,미분류,,진행(조치 전),-. 작업 후 휴식중 주변 구름성 위험이 있는 화물에 앉아서 쉬는 행위 ,,,0,2.0,직접판정,구름성 화물 위 착석은 전도·낙하 복합위험이나 즉시중대는 아님,
20,2026-07-03,2026-07,전북지사,완주복합물류센터,INSPECTOR_09,EHS팀 선임,지사 주관,전북지사_ 완주복합물류센터,온열·온도,온도ㆍ습도,개선필요 [하],1.0,혹서기 대비 온열질환 현수막 게시 필요,즉시처리,기타,현수막 게시 완료,완료,혹서기 대비 온열질환 현수막 게시 필요,현수막 게시 완료,,0,1.0,키워드보정,,
21,2026-07-03,2026-07,전북지사,전주 동산역,INSPECTOR_09,EHS팀 선임,지사 주관,전북지사_ 전주 동산역,온열·온도,온도ㆍ습도,개선필요 [하],1.0,혹서기 대비 온열질환 현수막 게시 필요,즉시처리,기타,현수막 게시 완료,완료,혹서기 대비 온열질환 현수막 게시 필요,현수막 게시 완료,,0,1.0,직접판정,"단순 게시물 필요, 낮음",
22,2026-07-02,2026-07,당진지사,당진지사,INSPECTOR_01,EHS팀 주임,지사 주관,당진지사,관리적미흡,관리적 미흡,개선필요 [하],1.0,- 작업용 차량 정차간 기어 변경 불량,즉시처리,기타,- 즉시조치 및 해당부두 내용 전달 완료,완료,- 작업용 차량 정차간 기어 변경 불량,- 즉시조치 및 해당부두 내용 전달 완료,회전체·협착점인근,1,2.0,키워드보정,,
23,2026-07-02,2026-07,당진지사,당진지사,INSPECTOR_01,EHS팀 주임,지사 주관,당진지사,관리적미흡,관리적 미흡,개선필요 [하],1.0,- 안전표지판 분진에 의한 식별 불량,즉시처리,점검·확인,- 안전표지판 청소 요청 후 진행상황 확인 완료,완료,- 안전표지판 분진에 의한 식별 불량,- 안전표지판 청소 요청 후 진행상황 확인 완료,,0,1.0,직접판정,"표지판 식별불량, 경미",
24,2026-07-02,2026-07,전북지사,군산항역,INSPECTOR_09,EHS팀 선임,지사 주관,전북지사_ 군산항역,온열·온도,온도ㆍ습도,개선필요 [하],1.0,혹서기 대비 온열질환 현수막 게시 필요,즉시처리,기타,온열질환 현수막 게시 완료,완료,혹서기 대비 온열질환 현수막 게시 필요,온열질환 현수막 게시 완료,,0,1.0,키워드보정,,
25,2026-07-02,2026-07,경남지사,마산항,INSPECTOR_12,EHS팀 책임,지사 주관,경남지사_ 마산항,온열·온도,온도ㆍ습도,개선필요 [하],1.0,1층 정비고 내 온습도계는 비치되어 있음. 간헐적으로 정비고 내 업무수행을 함에 있어서 혹서기에 체감온도를 확인 할수 있도록 체감온도 계산을위한 측정표를 비치할것.,즉시처리,점검·확인,체감온도 확인을 위한 측정표 및 체감온도계 비치 완료.,완료,"1층 정비고 내 온습도계는 비치되어 있음.
간헐적으로 정비고 내 업무수행을 함에 있어서 혹서기에 체감온도를 확인 할수 있도록 체감온도 계산을위한 측정표를 비치할것.",체감온도 확인을 위한 측정표 및 체감온도계 비치 완료.,,0,1.0,키워드보정,,
26,2026-07-01,2026-07,전북지사,군산항 부두,INSPECTOR_04,EHS팀 책임,지사 주관,전북지사_ 군산항 부두,화재·폭발,화재,개선필요 [하],1.0,5부두 운영되는 지게차 내 소화기 노후화 및 압력 부족으로 교체 필요,즉시처리,설치·구조물,지게차 내 노후된 소화기 새것으로 교체 완료,완료,"[군산항 5부두]
5부두 운영되는 지게차 내 소화기 노후화 및 압력 부족으로 교체 필요",지게차 내 노후된 소화기 새것으로 교체 완료,"회전체·협착점인근, 화기·인화물인근",2,3.0,키워드보정,,
27,2026-06-30,2026-06,당진지사,당진지사,INSPECTOR_01,EHS팀 주임,지사 주관,당진지사,감전,감전,개선필요 [하],1.0,- 1부두 항운노조 대기실 노출형 분전반으로 감전사고 위험,즉시처리,설치·구조물,- 분전반 교체 진행,완료,- 1부두 항운노조 대기실 노출형 분전반으로 감전사고 위험,- 분전반 교체 진행,충전부·고압인근,2,3.0,키워드보정,,
28,2026-06-30,2026-06,부산지사,감천,INSPECTOR_08,EHS팀 책임,지사 주관,부산지사_ 감천,전도,전도,개선필요 [중],2.0,휴게실 입구 미끄럼방지 미조치로인한 넘어짐 위험,즉시처리,기타,미끄럼방지 테이프 부착으로 미끄럼 방지 예방 조치,진행(조치 후),휴게실 입구 미끄럼방지 미조치로인한 넘어짐 위험,미끄럼방지 테이프 부착으로 미끄럼 방지 예방 조치,,0,2.0,키워드보정,,
29,2026-06-26,2026-06,당진지사,당진지사,INSPECTOR_01,EHS팀 주임,지사 주관,당진지사,낙하·비래·붕괴,낙하ㆍ붕괴,개선필요 [중],2.0,- 유연탄 3부두 이동식 운전원실 HOOK 해지장치 2EA 파손,즉시처리,설치·구조물,-후크해지장치 교체진행 완료,완료,- 유연탄 3부두 이동식 운전원실 HOOK 해지장치 2EA 파손,-후크해지장치 교체진행 완료,,0,2.0,키워드보정,,
30,2026-06-26,2026-06,부산지사,감천,INSPECTOR_14,EHS팀 선임,지사 주관,부산지사_ 감천,전도,전도,개선필요 [중],2.0,야드 노면 파손으로 인한 지게차 작업 시 전도 위험 → 노면 아스콘 보수 필요,즉시처리,설치·구조물,아스콘으로 노면 보수 후 철판으로 파손되지 않도록 조치 완료,완료,야드 노면 파손으로 인한 지게차 작업 시 전도 위험 → 노면 아스콘 보수 필요,아스콘으로 노면 보수 후 철판으로 파손되지 않도록 조치 완료,회전체·협착점인근,1,3.0,키워드보정,,
31,2026-06-26,2026-06,전북지사,완주복합물류센터,INSPECTOR_09,EHS팀 선임,지사 주관,전북지사_ 완주복합물류센터,온열·온도,온도ㆍ습도,개선필요 [하],1.0,- 근로자 휴게실 온열질환 대비 포도당 비치 필요,즉시처리,기타,-포도당 비치 완료,완료,"[물류운영팀_완주복합물류센터]
- 근로자 휴게실 온열질환 대비 포도당 비치 필요",-포도당 비치 완료,,0,1.0,키워드보정,,
32,2026-06-25,2026-06,부산지사,우암,INSPECTOR_14,EHS팀 선임,지사 주관,부산지사_ 우암,추락,추락,개선필요 [상],3.0,작업 전 대기중인 화물차량 운전원 안전모 미착용으로 사고 위험 → 안전모 착용 조치 필요,즉시처리,보호구지급,화물차량 운전자 즉시 안전모 착용 조치 완료,완료,작업 전 대기중인 화물차량 운전원 안전모 미착용으로 사고 위험 → 안전모 착용 조치 필요,화물차량 운전자 즉시 안전모 착용 조치 완료,,0,3.0,키워드보정,,
33,2026-06-25,2026-06,부산지사,우암,INSPECTOR_14,EHS팀 선임,지사 주관,부산지사_ 우암,추락,추락,개선필요 [상],3.0,우암센터 입구 및 작업장 내 안전모 착용 표지 추가 부착 필요 → PE방호벽에 안전표지 부착 예정,,미분류,,진행(조치 전),우암센터 입구 및 작업장 내 안전모 착용 표지 추가 부착 필요 → PE방호벽에 안전표지 부착 예정,,,0,2.0,직접판정,"표지 부착 필요일 뿐 구체적 추락위험 서술 없음 - 원본3은 과대책정, 2로 하향",관리적미흡
34,2026-06-25,2026-06,강원지사,안인,INSPECTOR_15,EHS팀 선임,지사 주관,강원지사_ 안인,관리적미흡,관리적 미흡,개선필요 [상],3.0,"간이운전실 인양방법 개선 필요 인양 시 하중받는 부위의 변형(휨) 발생으로 인한 인양물 탈락 위험 인양하중을 충분히 견딜 수 있는 구조로 인양방법을 변경하고, 전용 인양지점(Lug) 설치 등 구조적 개선 실시",즉시처리,설치·구조물,전용 인양지점(Lug) 설치 완료,완료,"<지적사항>
간이운전실 인양방법 개선 필요
<위험요인>
인양 시 하중받는 부위의 변형(휨) 발생으로 인한 인양물 탈락 위험
<조치요청>
인양하중을 충분히 견딜 수 있는 구조로 인양방법을 변경하고, 전용 인양지점(Lug) 설치 등 구조적 개선 실시",전용 인양지점(Lug) 설치 완료,,0,3.0,키워드보정,,
35,2026-06-24,2026-06,부산지사,우암,INSPECTOR_14,EHS팀 선임,지사 주관,부산지사_ 우암,전도,전도,개선필요 [상],3.0,야드 노면 파손으로 지게차 및 화물차량 운행 시 전도 위험 → 아스코 활용하여 야드 노면 보수 필요,,미분류,,진행(조치 전),야드 노면 파손으로 지게차 및 화물차량 운행 시 전도 위험 → 아스코 활용하여 야드 노면 보수 필요,,회전체·협착점인근,1,4.0,키워드보정,,
36,2026-06-24,2026-06,강원지사,동해,INSPECTOR_02,EHS팀 사원,지사 주관,강원지사_ 동해,온열·온도,온도ㆍ습도,개선필요 [하],1.0,"기존 온습도계를 이용하여 체감온도 측정을 실시하고 있으나, 본선 작업 특성상 휴대용 온습도계의 지급 및 측정 필요 → 휴대형 온습도계 추가 지급 후 측정 및 기록 진행",,미분류,,진행(조치 전),"기존 온습도계를 이용하여 체감온도 측정을 실시하고 있으나, 본선 작업 특성상 휴대용 온습도계의 지급 및 측정 필요
→ 휴대형 온습도계 추가 지급 후 측정 및 기록 진행",,,0,1.0,키워드보정,,
37,2026-06-23,2026-06,전북지사,군산항 부두,INSPECTOR_04,EHS팀 책임,지사 주관,전북지사_ 군산항 부두,온열·온도,온도ㆍ습도,개선필요 [하],1.0,1. 폭염의 기준이 되는 체감온도를 측정할 수 있는 온습도계 설치 필요 2. 각 부두별 온습도계 설치 및 체감온도를 확인할 수 있는 표 등 설치 요함,즉시처리,기타,각 부두별 온습도계 및 체감온도 측정 그래프 and 체감온도 계산 QR 부착 완료,완료,"[군산항 세방 부두]
1. 폭염의 기준이 되는 체감온도를 측정할 수 있는 온습도계 설치 필요
2. 각 부두별 온습도계 설치 및 체감온도를 확인할 수 있는 표 등 설치 요함",각 부두별 온습도계 및 체감온도 측정 그래프 and 체감온도 계산 QR 부착 완료,,0,1.0,키워드보정,,
38,2026-06-23,2026-06,전북지사,군산항 부두,INSPECTOR_04,EHS팀 책임,지사 주관,전북지사_ 군산항 부두,관리적미흡,관리적 미흡,개선필요 [하],1.0,1. 호퍼 내 운전실 부스 내부 의자가 없어 임으로 깡통(유류통 등)을 사용하여 근로자 작업 시 불안전항 상태에서의 작업 진행 2. 깡통(유튜통 등) 즉시 수거 및 폐기 후 의자를 비치하여 안정된 자세에서 작업토록 개선 필요,즉시처리,기타,1. 비치되어 있던 깡통(유류통 등) 즉시 수거 2. 의자 비치 완료,완료,"[군산항 3부두 / 7부두]
1. 호퍼 내 운전실 부스 내부 의자가 없어 임으로 깡통(유류통 등)을 사용하여 근로자 작업 시 불안전항 상태에서의 작업 진행
2. 깡통(유튜통 등) 즉시 수거 및 폐기 후 의자를 비치하여 안정된 자세에서 작업토록 개선 필요","1. 비치되어 있던 깡통(유류통 등) 즉시 수거
2. 의자 비치 완료",,0,1.0,키워드보정,,
39,2026-06-23,2026-06,강원지사,삼척,INSPECTOR_02,EHS팀 사원,지사 주관,강원지사_ 삼척,온열·온도,온도ㆍ습도,개선필요 [중],2.0,온열질환 발생자 대비 CABIN 내 폭염 응급키트 및 머리 냉찜질 세트 설치 필요 → CABIN 내부 폭염 응급키트 및 머리 냉찜질 세트 설치,즉시처리,설치·구조물,CABIN 내부 폭염 응급키트 및 머리 냉찜질 세트 설치완료,완료,온열질환 발생자 대비 CABIN 내 폭염 응급키트 및 머리 냉찜질 세트 설치 필요 → CABIN 내부 폭염 응급키트 및 머리 냉찜질 세트 설치,CABIN 내부 폭염 응급키트 및 머리 냉찜질 세트 설치완료,,0,2.0,키워드보정,,
40,2026-06-23,2026-06,전북지사,진흥원,INSPECTOR_09,EHS팀 선임,지사 주관,전북지사_ 진흥원,기타,기타,개선필요 [하],1.0,"- 현재 작업량이 저조하여 근무자가 2인으로 운영되고 있으나, 작업량이 많은 시점에는 일용직 근로자가 추가로 투입되서 작업을 시작함 - 해당 인력에 대해서는 도급을 주어 작업을 실시하고 있으나, 해당 인원에 대해 배치전교육 등이 이루어지지 않고 있음",즉시처리,교육·지도,"- 신규 인원 출입 시 안전교육을 실시 할 수 있도록 안동 담당자(홍성봉 관리감독자)에게 교육했으며, 지속적으로 완주 방문 시 관리 예정",완료,"[물류운영팀_진흥원(안동)]
- 현재 작업량이 저조하여 근무자가 2인으로 운영되고 있으나, 작업량이 많은 시점에는 일용직 근로자가 추가로 투입되서 작업을 시작함
- 해당 인력에 대해서는 도급을 주어 작업을 실시하고 있으나, 해당 인원에 대해 배치전교육 등이 이루어지지 않고 있음","- 신규 인원 출입 시 안전교육을 실시 할 수 있도록 안동 담당자(홍성봉 관리감독자)에게 교육했으며, 지속적으로 완주 방문 시 관리 예정",,0,2.0,직접판정,일용직 신규인력 배치전교육 누락은 잠재적 구조적 위험 - 1에서 상향,
41,2026-06-23,2026-06,전북지사,진흥원,INSPECTOR_09,EHS팀 선임,지사 주관,전북지사_ 진흥원,기타,기타,개선필요 [하],1.0,"[운송팀_제천오미야/사각지대 발굴 및 개선 건] - 오미야 공장에서 근무 시 배차만 진행하는 것으로 확인하였으나, 현장 방문 후 점검 결과 관리감독자 업무를 수행하고 있음 * 화물차-지게차 상하차 작업 유도 및 화물차 운전원 안전교육 등 - 해당 담당자 관리감독자 교육 이수 예정 (하반기 내)",즉시처리,교육·지도,- 관리감독자 선임 완료 (본사 담당자에게도 보고 완료) - 하반기 관리감독자 교육 이수 예정,완료,"[운송팀_제천오미야/사각지대 발굴 및 개선 건]
- 오미야 공장에서 근무 시 배차만 진행하는 것으로 확인하였으나, 현장 방문 후 점검 결과 관리감독자 업무를 수행하고 있음
* 화물차-지게차 상하차 작업 유도 및 화물차 운전원 안전교육 등
- 해당 담당자 관리감독자 교육 이수 예정 (하반기 내)","- 관리감독자 선임 완료 (본사 담당자에게도 보고 완료)
- 하반기 관리감독자 교육 이수 예정",,1,2.0,직접판정,관리감독자 미교육 상태로 업무수행은 구조적 위험 - 상향,
